transcript_id,transcript_position,score
tx_id_0,0,0.95074064
tx_id_0,10,0.9130377
tx_id_0,20,0.8865908
tx_id_0,30,0.92280483
tx_id_0,40,0.73899215
tx_id_0,50,0.13542648
tx_id_0,60,0.99921453
tx_id_0,70,0.31984898
tx_id_0,80,0.47363478
tx_id_0,90,0.40334177
tx_id_0,100,0.043911453
tx_id_0,110,0.8267067
tx_id_0,120,0.97449714
tx_id_0,130,0.7749447
tx_id_0,140,0.94374406
tx_id_0,150,0.9269092
tx_id_0,160,0.8972468
tx_id_0,170,0.5189096
tx_id_0,180,0.99663085
tx_id_0,190,0.49818954
tx_id_0,200,0.9981154
tx_id_0,210,0.6401393
tx_id_0,220,0.124644876
tx_id_0,230,0.7553654
tx_id_0,240,0.19934428
tx_id_0,250,0.62256604
tx_id_0,260,0.13617623
tx_id_0,270,0.019868996
tx_id_0,280,0.9742648
tx_id_0,290,0.96660334
tx_id_0,300,0.30451563
tx_id_0,310,0.04262834
tx_id_0,320,0.98113006
tx_id_0,330,0.05443875
tx_id_0,340,0.35185462
tx_id_0,350,0.9961344
tx_id_0,360,0.97275203
tx_id_0,370,0.8090989
tx_id_0,380,0.6581565
tx_id_0,390,0.70174694
tx_id_0,400,0.6153163
tx_id_0,410,0.22970673
tx_id_0,420,0.91442585
tx_id_0,430,0.62536955
tx_id_0,440,0.55168873
tx_id_0,450,0.8822441
tx_id_0,460,0.98925495
tx_id_0,470,0.46100563
tx_id_0,480,0.3795243
tx_id_0,490,0.72714806
tx_id_0,500,0.73432314
tx_id_0,510,0.89258343
tx_id_0,520,0.25510484
tx_id_0,530,0.88940215
tx_id_0,540,0.20929173
tx_id_0,550,0.6571571
tx_id_0,560,0.936879
tx_id_0,570,0.597304
tx_id_0,580,0.18630031
tx_id_0,590,0.10822476
tx_id_0,600,0.41843846
tx_id_0,610,0.0405067
tx_id_0,620,0.4159122
tx_id_0,630,0.9861835
tx_id_0,640,0.5722068
tx_id_0,650,0.36311704
tx_id_0,660,0.7731732
tx_id_0,670,0.28091243
tx_id_0,680,0.97378266
tx_id_0,690,0.020567374
tx_id_0,700,0.2480211
tx_id_0,710,0.6324873
tx_id_0,720,0.6705041
tx_id_0,730,0.9478626
tx_id_0,740,0.059892796
tx_id_0,750,0.6664778
tx_id_0,760,0.9992349
tx_id_0,770,0.83238333
tx_id_0,780,0.9051927
tx_id_0,790,0.25174132
tx_id_0,800,0.57926756
tx_id_0,810,0.23028739
tx_id_0,820,0.0738535
tx_id_0,830,0.98816955
tx_id_0,840,0.1254035
tx_id_0,850,0.48980832
tx_id_0,860,0.9901884
tx_id_0,870,0.95585465
tx_id_0,880,0.82302094
tx_id_0,890,0.9990113
tx_id_0,900,0.8037434
tx_id_0,910,0.89850116
tx_id_0,920,0.26491085
tx_id_0,930,0.6893391
tx_id_0,940,0.27144167
tx_id_0,950,0.48415563
tx_id_0,960,0.94939274
tx_id_0,970,0.8627654
tx_id_0,980,0.9599289
tx_id_0,990,0.41392592
tx_id_0,1000,0.99071395
tx_id_0,1010,0.8706257
tx_id_0,1020,0.9975446
tx_id_0,1030,0.98960614
tx_id_0,1040,0.637413
tx_id_0,1050,0.9026931
tx_id_0,1060,0.9800929
tx_id_0,1070,0.7723053
tx_id_0,1080,0.9179055
tx_id_0,1090,0.57047224
tx_id_0,1100,0.9434704
tx_id_0,1110,0.4916836
tx_id_0,1120,0.53662884
tx_id_0,1130,0.99017054
tx_id_0,1140,0.99818915
tx_id_0,1150,0.8141521
tx_id_0,1160,0.42851475
tx_id_0,1170,0.43018916
tx_id_0,1180,0.5130525
tx_id_0,1190,0.8195184
tx_id_0,1200,0.6009399
tx_id_0,1210,0.52248585
tx_id_0,1220,0.98303276
tx_id_0,1230,0.9628504
tx_id_0,1240,0.39116794
tx_id_0,1250,0.9772109
tx_id_0,1260,0.8599761
tx_id_0,1270,0.18427849
tx_id_0,1280,0.7133643
tx_id_0,1290,0.26257575
tx_id_0,1300,0.544848
tx_id_0,1310,0.66947836
tx_id_0,1320,0.32848963
tx_id_0,1330,0.99777395
tx_id_0,1340,0.80868345
tx_id_0,1350,0.9796753
tx_id_0,1360,0.99529904
tx_id_0,1370,0.8111879
tx_id_0,1380,0.88661623
tx_id_0,1390,0.9063064
tx_id_0,1400,0.14438371
tx_id_0,1410,0.94904006
tx_id_0,1420,0.9164355
tx_id_0,1430,0.27646327
tx_id_0,1440,0.94832265
tx_id_0,1450,0.2915313
tx_id_0,1460,0.644239
tx_id_0,1470,0.9176308
tx_id_0,1480,0.83904153
tx_id_0,1490,0.9891182
tx_id_0,1500,0.038643852
tx_id_0,1510,0.7341745
tx_id_0,1520,0.90151
tx_id_0,1530,0.42992333
tx_id_0,1540,0.1864481
tx_id_0,1550,0.9512154
tx_id_0,1560,0.21152851
tx_id_0,1570,0.2555103
tx_id_0,1580,0.97619575
tx_id_0,1590,0.931953
tx_id_0,1600,0.9427541
tx_id_0,1610,0.44530076
tx_id_0,1620,0.7938246
tx_id_0,1630,0.34890157
tx_id_0,1640,0.95950973
tx_id_0,1650,0.6474817
tx_id_0,1660,0.98660535
tx_id_0,1670,0.994429
tx_id_0,1680,0.96574455
tx_id_0,1690,0.36515823
tx_id_0,1700,0.2174484
tx_id_0,1710,0.79587936
tx_id_0,1720,0.98694265
tx_id_0,1730,0.92895246
tx_id_0,1740,0.7369671
tx_id_0,1750,0.96839565
tx_id_0,1760,0.9772884
tx_id_0,1770,0.72725916
tx_id_0,1780,0.42777607
tx_id_0,1790,0.9284592
tx_id_0,1800,0.77537215
tx_id_0,1810,0.32493082
tx_id_0,1820,0.20963272
tx_id_0,1830,0.99346924
tx_id_0,1840,0.90462464
tx_id_0,1850,0.9701201
tx_id_0,1860,0.4677427
tx_id_0,1870,0.8052108
tx_id_0,1880,0.58974135
tx_id_1,0,0.98157984
tx_id_1,10,0.04856232
tx_id_1,20,0.81887627
tx_id_1,30,0.45771605
tx_id_1,40,0.18887302
tx_id_1,50,0.3287155
tx_id_1,60,0.9794617
tx_id_1,70,0.745057
tx_id_1,80,0.455453
tx_id_1,90,0.7015383
tx_id_1,100,0.05373435
tx_id_1,110,0.84406465
tx_id_1,120,0.98315984
tx_id_1,130,0.65271246
tx_id_1,140,0.99328953
tx_id_1,150,0.925481
tx_id_1,160,0.48601842
tx_id_1,170,0.7558582
tx_id_1,180,0.9768505
tx_id_1,190,0.14600094
tx_id_1,200,0.9956541
tx_id_1,210,0.67305434
tx_id_1,220,0.86988145
tx_id_1,230,0.8503873
tx_id_1,240,0.23589486
tx_id_1,250,0.57074386
tx_id_1,260,0.016205031
tx_id_1,270,0.052894574
tx_id_1,280,0.7234492
tx_id_1,290,0.2750441
tx_id_1,300,0.4903492
tx_id_1,310,0.36511114
tx_id_1,320,0.8619364
tx_id_1,330,0.08101339
tx_id_1,340,0.81334555
tx_id_1,350,0.9931364
tx_id_1,360,0.9746406
tx_id_1,370,0.9420978
tx_id_1,380,0.54260623
tx_id_1,390,0.19253376
tx_id_1,400,0.653138
tx_id_1,410,0.25610864
tx_id_1,420,0.9222122
tx_id_1,430,0.35945627
tx_id_1,440,0.5862389
tx_id_1,450,0.97705644
tx_id_1,460,0.9977399
tx_id_1,470,0.42740327
tx_id_1,480,0.92060983
tx_id_1,490,0.9547982
tx_id_1,500,0.62588495
tx_id_1,510,0.859472
tx_id_1,520,0.4083476
tx_id_1,530,0.98527616
tx_id_1,540,0.16168553
tx_id_1,550,0.55459654
tx_id_1,560,0.9210765
tx_id_1,570,0.5611885
tx_id_1,580,0.042824786
tx_id_1,590,0.21276663
tx_id_1,600,0.12424903
tx_id_1,610,0.024311135
tx_id_1,620,0.6292323
tx_id_1,630,0.9839393
tx_id_1,640,0.74820155
tx_id_1,650,0.6682424
tx_id_1,660,0.9615536
tx_id_1,670,0.24925129
tx_id_1,680,0.9657824
tx_id_1,690,0.020359322
tx_id_1,700,0.49702516
tx_id_1,710,0.2748076
tx_id_1,720,0.2198514
tx_id_1,730,0.91934204
tx_id_1,740,0.11162633
tx_id_1,750,0.6397972
tx_id_1,760,0.98429734
tx_id_1,770,0.62233007
tx_id_1,780,0.8307752
tx_id_1,790,0.20201272
tx_id_1,800,0.32608765
tx_id_1,810,0.12443489
tx_id_1,820,0.2111316
tx_id_1,830,0.99150556
tx_id_1,840,0.2715764
tx_id_1,850,0.8136983
tx_id_1,860,0.8818096
tx_id_1,870,0.96856534
tx_id_1,880,0.95989174
tx_id_1,890,0.9782331
tx_id_1,900,0.8673227
tx_id_1,910,0.85253304
tx_id_1,920,0.17084862
tx_id_1,930,0.70437336
tx_id_1,940,0.18798375
tx_id_1,950,0.13056612
tx_id_1,960,0.8504597
tx_id_1,970,0.44111824
tx_id_1,980,0.96734816
tx_id_1,990,0.94388425
tx_id_1,1000,0.9975944
tx_id_1,1010,0.9204983
tx_id_1,1020,0.99681264
tx_id_1,1030,0.98992074
tx_id_1,1040,0.6067486
tx_id_1,1050,0.6087699
tx_id_1,1060,0.9425989
tx_id_1,1070,0.62785184
tx_id_1,1080,0.976399
tx_id_1,1090,0.7487463
tx_id_1,1100,0.81324124
tx_id_1,1110,0.66507465
tx_id_1,1120,0.54507345
tx_id_1,1130,0.9975751
tx_id_1,1140,0.9995554
tx_id_1,1150,0.8250643
tx_id_1,1160,0.22139414
tx_id_1,1170,0.7816167
tx_id_1,1180,0.3195982
tx_id_1,1190,0.6395038
tx_id_1,1200,0.88984895
tx_id_1,1210,0.50188625
tx_id_1,1220,0.97548467
tx_id_1,1230,0.98607904
tx_id_1,1240,0.45013008
tx_id_1,1250,0.98423344
